scorer,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000
bodyparts,P01,P01,P01,P02,P02,P02,P03,P03,P03
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
183,1219.446289,215.7707977,0.993028224,1233.174194,507.8297424,0.99416995,1237.304321,609.2411499,0.994958341
184,1218.318237,216.2085724,0.991258323,1226.139282,507.8812866,0.991201639,1229.835449,609.2411499,0.980246127
185,1215.414917,217.0838623,0.988604307,1218.190552,507.8297424,0.993465483,1217.756836,609.2411499,0.994444191
186,1214.031616,217.0838623,0.988278627,1208.48999,507.8297424,0.989595711,1203.393066,607.5041504,0.993856013
187,1211.750854,217.0838623,0.988058984,1195.497925,506.1550598,0.981713831,1190.335083,603.3658447,0.976762831
188,1209.363159,216.571228,0.991403639,1183.664185,505.9474487,0.992525101,1175.549927,602.7423706,0.988743663
189,1207.466797,216.4176025,0.994484007,1171.687134,505.894165,0.998493671,1160.115601,600.5979614,0.994218349
190,1204.637207,216.0509491,0.994176388,1161.468994,503.0812073,0.997029781,1145.983521,595.3577271,0.989715278
191,1202.866333,216.0509491,0.993743837,1151.350098,497.7272034,0.990960538,1131.642822,591.8660278,0.976814091
192,1200.071655,216.0278625,0.989197791,1140.182983,496.1587524,0.996140182,1120.289795,586.2202759,0.988454282
193,1197.795288,216.0278625,0.986988902,1133.006592,490.9596558,0.981418192,1110.137695,582.6438599,0.991122127
194,1196.281616,216.1111298,0.988987744,1126.927979,490.5530396,0.997205794,1104.437988,573.9535522,0.963942349
195,1194.29834,216.1111298,0.987003624,1122.25415,487.0622253,0.999011636,1097.849243,573.4394531,0.930031002
196,1193.940796,216.0368042,0.986710846,1121.787964,483.4010925,0.998369515,1097.849243,569.3435669,0.956320286
