frame,P01_X,P01_Y,P01_Z,P02_X,P02_Y,P02_Z,P03_X,P03_Y,P03_Z
329,137.922,285.992,235.655,101.499,295.256,27.156,88.812,293.188,-46.408
330,138.223,286.825,235.697,103.223,300.203,26.439,92.139,301.503,-47.657
331,138.602,287.285,235.646,106.309,302.460,26.307,95.903,308.232,-47.273
332,139.792,288.391,235.555,112.310,303.059,26.159,103.291,308.317,-45.613
333,140.807,288.947,235.272,118.433,302.900,25.635,111.362,307.799,-45.271
334,142.040,289.561,235.206,126.092,303.291,25.274,121.185,303.879,-44.158
335,143.636,288.043,235.026,133.588,297.028,25.344,130.973,303.169,-44.301
336,145.257,287.582,235.059,142.084,293.255,25.467,142.878,297.054,-44.495
337,147.248,285.374,235.308,151.543,291.804,24.808,153.210,289.998,-43.805
338,148.672,284.945,235.188,158.765,283.543,26.034,164.307,283.421,-42.226
339,150.060,284.294,235.200,166.447,277.559,26.377,175.061,277.954,-42.660
340,150.719,286.062,235.081,170.022,286.614,23.244,179.324,288.146,-47.808
341,150.718,286.065,235.148,170.022,286.614,23.244,179.347,288.169,-47.422
