frame,P01_Cam2_X,P01_Cam2_Y,P01_Cam3_X,P01_Cam3_Y,P02_Cam2_X,P02_Cam2_Y,P02_Cam3_X,P02_Cam3_Y,P03_Cam2_X,P03_Cam2_Y,P03_Cam3_X,P03_Cam3_Y
164,907.633,64.151,1193.795,215.454,839.211,403.182,1118.930,481.221,819.122,514.653,1094.157,568.068
165,907.633,64.086,1193.795,215.381,839.211,401.871,1118.930,480.474,819.122,511.158,1094.157,567.461
166,907.633,64.078,1194.467,215.381,839.211,400.778,1122.858,480.474,819.122,510.727,1100.340,567.129
167,908.046,64.078,1195.254,215.454,842.672,398.359,1128.533,480.474,826.904,508.294,1106.793,565.232
168,909.194,64.086,1196.715,215.381,852.659,398.359,1134.544,480.703,833.957,504.311,1117.896,563.188
169,910.480,65.425,1197.946,215.566,861.046,398.359,1144.598,482.380,846.518,504.311,1128.891,563.188
170,912.431,65.493,1200.878,215.695,874.421,399.172,1154.480,484.857,863.130,500.027,1141.742,563.188
171,915.548,65.860,1203.412,215.809,889.749,400.170,1166.589,485.435,881.455,500.008,1154.740,563.951
172,918.677,65.937,1205.136,215.956,905.357,400.170,1176.207,489.242,902.644,500.027,1169.961,566.107
173,918.695,65.937,1207.693,216.492,905.525,400.170,1188.435,490.858,902.659,504.567,1184.131,568.145
174,923.544,65.860,1209.928,216.290,921.252,400.069,1198.967,493.093,922.270,504.487,1199.192,571.985
175,925.791,65.860,1212.142,216.290,937.505,399.891,1209.591,495.866,940.314,504.567,1213.975,577.590
176,928.308,66.058,1214.275,216.290,952.538,399.584,1218.615,498.252,964.421,505.581,1225.415,582.346
177,932.306,66.058,1216.108,215.452,965.484,399.427,1228.403,499.737,982.228,507.428,1235.177,587.265
178,934.673,66.058,1217.348,215.158,976.583,399.427,1233.029,503.212,996.361,507.428,1241.422,594.125
179,938.325,66.058,1219.807,215.069,986.381,399.891,1236.951,504.290,1006.373,508.999,1246.615,600.087
180,939.957,65.855,1220.226,215.069,991.533,401.572,1236.951,506.230,1012.673,509.609,1246.615,602.414
